hospital_id,date,num_modules,num_functional_modules,num_tests,cartridges_used,max_tests_per_machine
1,15 04 2023,4,5,9,9,35
1,16 04 2023,4,4,5,5,28
2,10 10 2018,4,4,6,6,28
2,1 09 2021,4,4,5,5,28
2,4 09 2021,4,3,3,3,21
2,1 11 2021,4,1,1,1,7
2,5 12 2021,4,1,1,1,7
2,10 12 2021,4,2,2,2,14
2,14 03 2022,4,4,25,25,28
2,15 03 2022,4,4,25,25,28
2,16 03 2022,4,4,24,24,28
2,17 03 2022,4,4,11,11,28
2,18 03 2022,4,4,37,37,28
2,21 03 2022,4,2,3,3,14
2,22 03 2022,4,4,9,9,28
2,23 03 2022,4,4,11,11,28
2,24 03 2022,4,3,3,3,21
2,25 03 2022,4,4,24,24,28
2,28 03 2022,4,4,24,24,28
2,29 03 2022,4,1,1,1,7
2,30 03 2022,4,4,24,24,28
2,31 03 2022,4,4,30,30,28
2,1 04 2022,4,4,18,18,28
2,5 04 2022,4,4,4,4,28
2,6 04 2022,4,2,2,2,14
2,11 04 2022,4,4,6,6,28
2,12 04 2022,4,4,4,4,28
2,13 04 2022,4,4,27,27,28
2,14 04 2022,4,4,24,24,28
2,16 04 2022,4,1,1,1,7
2,19 04 2022,4,3,3,3,21
2,20 04 2022,4,1,1,1,7
2,21 04 2022,4,4,24,24,28
2,22 04 2022,4,4,24,24,28
2,25 04 2022,4,3,3,3,21
2,27 04 2022,4,4,30,30,28
2,28 04 2022,4,4,33,33,28
2,29 04 2022,4,4,13,13,28
2,3 05 2022,4,3,6,6,21
2,4 05 2022,4,4,15,15,28
2,5 05 2022,4,4,17,17,28
2,12 05 2022,4,4,16,16,28
2,13 05 2022,4,4,7,7,28
2,16 05 2022,4,4,20,20,28
2,17 05 2022,4,4,22,22,28
2,18 05 2022,4,4,23,23,28
2,19 05 2022,4,4,22,22,28
2,21 05 2022,4,4,4,4,28
2,23 05 2022,4,1,1,1,7
2,25 05 2022,4,4,8,8,28
2,26 05 2022,4,1,1,1,7
2,31 05 2022,4,4,4,4,28
2,1 06 2022,4,1,1,1,7
2,2 06 2022,4,4,6,6,28
2,6 06 2022,4,4,20,20,28
2,7 06 2022,4,4,28,28,28
2,8 06 2022,4,4,35,35,28
2,10 06 2022,4,4,10,10,28
2,13 06 2022,4,4,5,5,28
2,14 06 2022,4,4,8,8,28
2,15 06 2022,4,3,3,3,21
2,16 06 2022,4,4,8,8,28
2,17 06 2022,4,4,35,35,28
2,20 06 2022,4,4,21,21,28
2,21 06 2022,4,4,16,16,28
2,23 06 2022,4,4,29,29,28
2,24 06 2022,4,4,32,32,28
2,27 06 2022,4,4,24,24,28
2,28 06 2022,4,4,32,32,28
2,29 06 2022,4,4,28,28,28
2,30 06 2022,4,4,9,9,28
2,1 07 2022,4,2,2,2,14
2,4 07 2022,4,4,4,4,28
2,7 07 2022,4,4,20,20,28
2,25 07 2022,4,4,13,13,28
2,26 07 2022,4,2,2,2,14
2,1 08 2022,4,2,2,2,14
2,2 08 2022,4,1,1,1,7
2,3 08 2022,4,4,6,6,28
2,16 08 2022,4,1,1,1,7
2,19 08 2022,4,3,3,3,21
2,22 08 2022,4,3,16,16,21
2,23 08 2022,4,1,1,1,7
2,24 08 2022,4,1,1,1,7
2,25 08 2022,4,3,12,12,21
2,29 08 2022,4,2,3,3,14
2,30 08 2022,4,1,1,1,7
2,1 09 2022,4,2,2,2,14
2,2 09 2022,4,4,5,5,28
2,5 09 2022,4,4,13,13,28
2,6 09 2022,4,1,1,1,7
2,7 09 2022,4,1,1,1,7
2,9 09 2022,4,1,1,1,7
2,12 09 2022,4,2,3,3,14
2,13 09 2022,4,3,3,3,21
2,14 09 2022,4,4,32,32,28
2,15 09 2022,4,4,62,62,28
2,16 09 2022,4,4,53,53,28
2,19 09 2022,4,4,57,57,28
2,20 09 2022,4,4,61,61,28
2,22 09 2022,4,3,3,3,21
2,26 09 2022,4,4,29,29,28
2,27 09 2022,4,2,3,3,14
2,28 09 2022,4,4,8,8,28
2,30 09 2022,4,4,7,7,28
2,3 10 2022,4,4,24,24,28
2,4 10 2022,4,4,33,33,28
2,5 10 2022,4,4,29,29,28
2,6 10 2022,4,4,32,32,28
2,7 10 2022,4,4,38,38,28
2,10 10 2022,4,4,27,27,28
2,11 10 2022,4,4,40,40,28
2,12 10 2022,4,4,48,48,28
2,13 10 2022,4,4,24,24,28
2,14 10 2022,4,4,10,10,28
2,19 10 2022,4,4,31,31,28
2,20 10 2022,4,4,48,48,28
2,21 10 2022,4,4,5,5,28
2,24 10 2022,4,4,40,40,28
2,26 10 2022,4,4,56,56,28
2,27 10 2022,4,4,24,24,28
2,1 11 2022,4,4,6,6,28
2,3 11 2022,4,2,2,2,14
2,7 11 2022,4,4,5,5,28
2,8 11 2022,4,1,1,1,7
2,9 11 2022,4,4,6,6,28
2,10 11 2022,4,2,2,2,14
2,15 11 2022,4,4,4,4,28
3,11 01 2018,4,2,2,2,14
3,1 01 2019,4,4,9,9,28
3,2 01 2019,4,4,4,4,28
3,4 01 2019,4,2,3,3,14
3,1 10 2021,4,1,1,1,7
3,8 10 2021,4,4,8,8,28
3,9 10 2021,4,3,3,3,21
3,14 01 2022,4,3,4,4,21
3,19 01 2022,4,4,6,6,28
3,25 02 2022,4,4,6,6,28
3,2 03 2022,4,1,1,1,7
3,3 03 2022,4,4,10,10,28
3,11 03 2022,4,1,1,1,7
3,14 03 2022,4,1,2,2,7
3,17 03 2022,4,1,1,1,7
3,18 03 2022,4,4,5,5,28
3,19 03 2022,4,3,3,3,21
3,31 03 2022,4,4,28,28,28
3,1 04 2022,4,4,26,26,28
3,7 04 2022,4,2,3,3,14
3,11 04 2022,4,4,30,30,28
3,12 04 2022,4,2,2,2,14
3,20 04 2022,4,4,8,8,28
3,22 04 2022,4,3,5,5,21
3,27 04 2022,4,1,1,1,7
3,28 04 2022,4,3,4,4,21
3,29 04 2022,4,1,1,1,7
3,24 05 2022,4,4,5,5,28
3,25 05 2022,4,1,1,1,7
3,15 06 2022,4,4,5,5,28
3,18 06 2022,4,4,4,4,28
3,21 06 2022,4,4,10,10,28
3,25 06 2022,4,4,7,7,28
3,30 06 2022,4,3,5,5,21
3,4 07 2022,4,4,4,4,28
3,5 07 2022,4,4,4,4,28
3,7 07 2022,4,4,8,8,28
3,8 07 2022,4,4,4,4,28
3,20 07 2022,4,2,2,2,14
3,26 07 2022,4,1,1,1,7
3,1 08 2022,4,4,8,8,28
3,10 08 2022,4,2,2,2,14
3,16 08 2022,4,1,2,2,7
3,19 08 2022,4,4,5,5,28
3,22 08 2022,4,4,4,4,28
3,23 08 2022,4,4,10,10,28
3,24 08 2022,4,4,4,4,28
3,26 08 2022,4,1,1,1,7
3,1 09 2022,4,2,2,2,14
3,5 09 2022,4,2,2,2,14
3,6 09 2022,4,2,2,2,14
3,8 09 2022,4,1,1,1,7
3,13 09 2022,4,3,3,3,21
3,20 09 2022,4,2,2,2,14
3,4 10 2022,4,1,1,1,7
3,6 10 2022,4,1,1,1,7
3,18 10 2022,4,3,4,4,21
3,19 10 2022,4,2,2,2,14
3,28 10 2022,4,1,1,1,7
3,7 11 2022,4,2,2,2,14
3,8 11 2022,4,2,2,2,14
3,1 12 2022,4,2,3,3,14
3,5 12 2022,4,4,5,5,28
3,7 12 2022,4,1,1,1,7
3,19 12 2022,4,1,1,1,7
3,20 12 2022,4,4,9,9,28
3,27 12 2022,4,1,1,1,7
3,25 01 2023,4,1,1,1,7
3,30 01 2023,4,3,3,3,21
3,31 01 2023,4,3,3,3,21
3,6 02 2023,4,1,1,1,7
3,9 02 2023,4,4,6,6,28
3,13 02 2023,4,4,8,8,28
3,14 02 2023,4,4,16,16,28
3,15 02 2023,4,4,5,5,28
3,20 02 2023,4,1,1,1,7
3,27 02 2023,4,4,16,16,28
3,28 02 2023,4,4,6,6,28
3,2 03 2023,4,4,8,8,28
3,3 03 2023,4,4,13,13,28
3,6 03 2023,4,2,2,2,14
3,8 03 2023,4,1,1,1,7
3,9 03 2023,4,2,2,2,14
3,15 03 2023,4,4,13,13,28
3,16 03 2023,4,1,1,1,7
3,23 03 2023,4,4,7,7,28
3,27 03 2023,4,4,4,4,28
3,28 03 2023,4,1,1,1,7
3,29 03 2023,4,1,1,1,7
3,4 04 2023,4,4,5,5,28
3,5 04 2023,4,3,3,3,21
3,11 04 2023,4,4,12,12,28
3,12 04 2023,4,2,2,2,14
3,13 04 2023,4,1,2,2,7
3,14 04 2023,4,4,7,7,28
3,17 04 2023,4,4,4,4,28
5,11 04 2022,4,4,7,7,28
5,12 04 2022,4,4,8,8,28
5,14 04 2022,4,3,3,3,21
5,19 04 2022,4,1,1,1,7
5,22 04 2022,4,4,20,20,28
5,23 04 2022,4,4,6,6,28
5,26 04 2022,4,2,2,2,14
5,28 04 2022,4,4,7,7,28
5,2 05 2022,4,2,2,2,14
5,6 05 2022,4,4,4,4,28
5,9 05 2022,4,1,1,1,7
5,12 05 2022,4,4,6,6,28
5,19 05 2022,4,2,2,2,14
5,24 05 2022,4,4,6,6,28
5,25 05 2022,4,4,36,36,28
5,26 05 2022,4,3,3,3,21
5,30 05 2022,4,4,28,28,28
5,1 06 2022,4,4,6,6,28
5,7 06 2022,4,4,9,9,28
5,9 06 2022,4,4,9,9,28
5,10 06 2022,4,2,2,2,14
5,13 06 2022,4,4,4,4,28
5,14 06 2022,4,4,5,5,28
5,17 06 2022,4,3,3,3,21
5,22 06 2022,4,4,9,9,28
5,27 06 2022,4,4,4,4,28
5,28 06 2022,4,4,4,4,28
5,1 08 2022,4,4,12,12,28
5,2 08 2022,4,1,1,1,7
5,4 08 2022,4,4,5,5,28
5,8 08 2022,4,1,1,1,7
5,10 08 2022,4,4,5,5,28
5,11 08 2022,4,4,9,9,28
5,15 08 2022,4,4,8,8,28
5,17 08 2022,4,4,14,14,28
5,18 08 2022,4,2,2,2,14
5,24 08 2022,4,4,5,5,28
5,28 08 2022,4,1,1,1,7
5,29 08 2022,4,4,5,5,28
5,30 08 2022,4,4,6,6,28
5,31 08 2022,4,2,2,2,14
5,1 09 2022,4,1,1,1,7
5,6 09 2022,4,4,4,4,28
5,8 09 2022,4,4,10,10,28
5,14 09 2022,4,3,3,3,21
5,15 09 2022,4,4,14,14,28
5,16 09 2022,4,4,13,13,28
5,17 09 2022,4,4,36,36,28
5,18 09 2022,4,4,21,21,28
5,19 09 2022,4,4,54,54,28
5,20 09 2022,4,4,60,60,28
5,21 09 2022,4,4,56,56,28
5,22 09 2022,4,4,48,48,28
5,23 09 2022,4,4,57,57,28
5,24 09 2022,4,4,39,39,28
5,25 09 2022,4,4,42,42,28
5,26 09 2022,4,4,40,40,28
5,27 09 2022,4,4,58,58,28
5,28 09 2022,4,4,37,37,28
5,29 09 2022,4,2,2,2,14
5,4 10 2022,4,4,6,6,28
5,5 10 2022,4,4,36,36,28
5,6 10 2022,4,4,44,44,28
5,7 10 2022,4,4,65,65,28
5,8 10 2022,4,4,53,53,28
5,9 10 2022,4,4,48,48,28
5,10 10 2022,4,4,9,9,28
5,11 10 2022,4,4,29,29,28
5,12 10 2022,4,4,56,56,28
5,13 10 2022,4,4,28,28,28
5,14 10 2022,4,4,44,44,28
5,15 10 2022,4,4,12,12,28
5,17 10 2022,4,4,52,52,28
5,18 10 2022,4,4,57,57,28
5,19 10 2022,4,4,33,33,28
5,20 10 2022,4,4,39,39,28
5,21 10 2022,4,4,37,37,28
5,24 10 2022,4,4,9,9,28
5,26 10 2022,4,3,3,3,21
5,29 10 2022,4,4,4,4,28
5,7 11 2022,4,4,4,4,28
5,12 11 2022,4,4,10,10,28
5,14 11 2022,4,2,2,2,14
5,17 11 2022,4,2,2,2,14
5,23 11 2022,4,4,23,23,28
5,26 11 2022,4,4,12,12,28
5,1 12 2022,4,4,4,4,28
5,2 12 2022,4,3,4,4,21
5,4 12 2022,4,4,5,5,28
5,7 12 2022,4,4,7,7,28
5,12 12 2022,4,3,3,3,21
5,13 12 2022,4,4,4,4,28
5,16 12 2022,4,4,11,11,28
5,17 12 2022,4,2,2,2,14
5,23 12 2022,4,4,8,8,28
5,29 12 2022,4,4,4,4,28
5,31 12 2022,4,2,2,2,14
5,1 01 2023,4,1,1,1,7
5,2 01 2023,4,3,6,6,21
5,3 01 2023,4,1,1,1,7
5,5 01 2023,4,4,7,7,28
5,7 01 2023,4,4,10,10,28
5,8 01 2023,4,3,3,3,21
5,10 01 2023,4,4,5,5,28
5,12 01 2023,4,1,1,1,7
5,15 01 2023,4,1,1,1,7
5,16 01 2023,4,4,9,9,28
5,18 01 2023,4,4,9,9,28
5,19 01 2023,4,1,1,1,7
5,20 01 2023,4,4,10,10,28
5,21 01 2023,4,4,19,19,28
5,25 01 2023,4,3,5,5,21
5,27 01 2023,4,3,9,9,21
5,28 01 2023,4,3,4,4,21
5,31 01 2023,4,3,3,3,21
5,1 02 2023,4,3,3,3,21
5,3 02 2023,4,3,20,20,21
5,4 02 2023,4,3,28,28,21
5,5 02 2023,4,3,4,4,21
5,6 02 2023,4,1,1,1,7
5,9 02 2023,4,3,3,3,21
5,10 02 2023,4,2,2,2,14
5,11 02 2023,4,3,5,5,21
5,14 02 2023,4,3,10,10,21
5,16 02 2023,4,1,1,1,7
5,17 02 2023,4,4,12,12,28
5,18 02 2023,4,4,5,5,28
5,21 02 2023,4,2,2,2,14
5,22 02 2023,4,2,2,2,14
5,23 02 2023,4,3,6,6,21
5,24 02 2023,4,1,1,1,7
5,26 02 2023,4,1,1,1,7
5,28 02 2023,4,4,4,4,28
5,1 03 2023,4,2,2,2,14
5,2 03 2023,4,4,6,6,28
5,8 03 2023,4,4,6,6,28
5,9 03 2023,4,3,7,7,21
5,10 03 2023,4,1,2,2,7
